"Species","Depth","Alga_length"
"A",1,128.64
"A",2,110.34
"A",3,104.5
"A",4,118.93
"A",5,116.37
"A",6,113.55
"A",7,115.12
"A",8,113.25
"A",9,128.16
"A",10,133.05
"A",11,131.78
"A",12,117.22
"A",13,135.19
"A",14,119.63
"A",15,141.49
"A",1,123.11
"A",2,112.85
"A",3,109.27
"A",4,106.16
"A",5,107.63
"A",6,102.8
"A",7,131.86
"A",8,128.85
"A",9,118.11
"A",10,123.72
"A",11,117.36
"A",12,147.45
"A",13,113.78
"A",14,121.99
"A",15,125.61
"A",1,123.72
"A",2,115.8
"A",3,94.61
"A",4,105.14
"A",5,122.63
"A",6,119.15
"A",7,109.77
"A",8,118.87
"A",9,111.92
"A",10,123.47
"A",11,106.32
"A",12,125.6
"A",13,124.77
"A",14,123.25
"A",15,123.18
"A",1,119.91
"A",2,110.78
"A",3,116.78
"A",4,125.44
"A",5,130.45
"A",6,120.78
"A",7,118.44
"A",8,110.49
"A",9,105.37
"A",10,112.52
"A",11,134.54
"A",12,129.87
"A",13,119.84
"A",14,118.09
"A",15,118.57
"A",1,127.7
"A",2,114.71
"A",3,131.26
"A",4,125.25
"A",5,132.54
"A",6,110.07
"A",7,119.77
"A",8,110.82
"A",9,126.78
"A",10,122.18
"A",11,118.36
"A",12,137.07
"A",13,124.57
"A",14,133.06
"A",15,131.21
"A",1,109.03
"A",2,111.13
"A",3,118.52
"A",4,106.54
"A",5,124.93
"A",6,105.78
"A",7,136.8
"A",8,114.82
"A",9,138.18
"A",10,116.57
"A",11,111.09
"A",12,122.01
"A",13,122.44
"A",14,104.87
"A",15,134.08
"A",1,105.42
"A",2,121.15
"A",3,123.24
"A",4,119.9
"A",5,117.6
"A",6,121.35
"A",7,108.43
"A",8,111.63
"A",9,108.78
"A",10,137.56
"A",11,137.1
"A",12,124.51
"A",13,109.17
"A",14,122.53
"A",15,138.9
"A",1,112.2
"A",2,126.02
"A",3,107.77
"A",4,125.7
"A",5,108.79
"A",6,106.3
"A",7,109.6
"A",8,110.93
"A",9,110.91
"A",10,128.72
"A",11,122.05
"A",12,118.33
"A",13,110.71
"A",14,111.87
"A",15,114.89
"B",1,118.56
"B",2,129.97
"B",3,143.94
"B",4,131.43
"B",5,163.22
"B",6,139.07
"B",7,156.08
"B",8,185.97
"B",9,175.23
"B",10,167.96
"B",11,166.14
"B",12,185.55
"B",13,183.92
"B",14,184.68
"B",15,196.31
"B",1,125.06
"B",2,161.97
"B",3,156.39
"B",4,151.61
"B",5,155.42
"B",6,146.98
"B",7,166.19
"B",8,157.98
"B",9,155.68
"B",10,189.95
"B",11,165.49
"B",12,176.52
"B",13,177.71
"B",14,178.79
"B",15,199.21
"B",1,114.4
"B",2,132.47
"B",3,133.17
"B",4,129.27
"B",5,147.35
"B",6,148.14
"B",7,150.97
"B",8,171.67
"B",9,171.54
"B",10,169.63
"B",11,176.67
"B",12,171.96
"B",13,181.97
"B",14,199.89
"B",15,192.87
"B",1,131.76
"B",2,155.44
"B",3,131.84
"B",4,153.47
"B",5,166.51
"B",6,141.62
"B",7,157.25
"B",8,157.55
"B",9,161.01
"B",10,159.79
"B",11,165.83
"B",12,192.62
"B",13,190.16
"B",14,196.53
"B",15,209.08
"B",1,126.33
"B",2,143
"B",3,138.46
"B",4,138.42
"B",5,157.61
"B",6,152.95
"B",7,146.09
"B",8,159.11
"B",9,181.46
"B",10,182.63
"B",11,160.04
"B",12,180.53
"B",13,192.78
"B",14,171.82
"B",15,207.54
"B",1,124.51
"B",2,137.46
"B",3,137.09
"B",4,159.81
"B",5,132.88
"B",6,151.08
"B",7,147.25
"B",8,165.75
"B",9,189.02
"B",10,154.96
"B",11,174.42
"B",12,178.03
"B",13,199.92
"B",14,178.43
"B",15,198.15
"B",1,147.57
"B",2,131.9
"B",3,131.82
"B",4,141.92
"B",5,153.24
"B",6,142.14
"B",7,173.7
"B",8,161.62
"B",9,136.15
"B",10,159.16
"B",11,190.99
"B",12,169.49
"B",13,183
"B",14,188.98
"B",15,176.6
"B",1,135.15
"B",2,138.93
"B",3,158.38
"B",4,154.23
"B",5,148.92
"B",6,151.72
"B",7,163.31
"B",8,152.43
"B",9,167.15
"B",10,174.19
"B",11,180.72
"B",12,167.87
"B",13,199.11
"B",14,195.77
"B",15,218.86
"B",1,110.63
"B",2,128.52
"B",3,121.43
"B",4,139.25
"B",5,151.27
"B",6,170.11
"B",7,152.5
"B",8,149.22
"B",9,162.9
"B",10,176.95
"B",11,176.93
"B",12,193.13
"B",13,180.97
"B",14,171.57
"B",15,202.84
"B",1,118.63
"B",2,140.94
"B",3,144.37
"B",4,147.39
"B",5,165.83
"B",6,150.45
"B",7,143.54
"B",8,162.22
"B",9,163.67
"B",10,177.1
"B",11,191.89
"B",12,160.93
"B",13,181.84
"B",14,189.27
"B",15,198.7
"B",1,122.92
"B",2,138.61
"B",3,143.01
"B",4,143.45
"B",5,146.8
"B",6,167.68
"B",7,164.01
"B",8,181.71
"B",9,163.29
"B",10,157.74
"B",11,170.98
"B",12,180.55
"B",13,181.59
"B",14,184.3
"B",15,176.8
"C",1,69.35
"C",2,67.57
"C",3,87.75
"C",4,90.29
"C",5,107.77
"C",6,85.74
"C",7,104.29
"C",8,87.96
"C",9,76.68
"C",10,103.89
"C",11,93.66
"C",12,91.67
"C",13,94.75
"C",14,120.62
"C",15,128.92
"C",1,92.62
"C",2,78.18
"C",3,66.89
"C",4,88.72
"C",5,102.28
"C",6,100.79
"C",7,96.12
"C",8,97
"C",9,85.33
"C",10,104.01
"C",11,101.08
"C",12,103.31
"C",13,101.9
"C",14,91.64
"C",15,101.01
"C",1,89.51
"C",2,82.2
"C",3,83.96
"C",4,83.45
"C",5,105.98
"C",6,90.23
"C",7,95.28
"C",8,96.06
"C",9,83.79
"C",10,97.43
"C",11,116.95
"C",12,108.34
"C",13,85.78
"C",14,107.57
"C",15,115.87
"C",1,78.66
"C",2,91.79
"C",3,81.55
"C",4,72.29
"C",5,97.33
"C",6,93.38
"C",7,99.08
"C",8,107.56
"C",9,98.76
"C",10,77.27
"C",11,101.92
"C",12,81.32
"C",13,97.66
"C",14,118.87
"C",15,86.46
"C",1,81
"C",2,73.85
"C",3,79.89
"C",4,98.43
"C",5,93.8
"C",6,106.68
"C",7,77.45
"C",8,82.93
"C",9,86.48
"C",10,96.61
"C",11,87.44
"C",12,91.86
"C",13,91.94
"C",14,114.37
"C",15,115.72
"C",1,91.44
"C",2,116.02
"C",3,81.45
"C",4,94.68
"C",5,130.04
"C",6,97.22
"C",7,91.18
"C",8,81.6
"C",9,89.16
"C",10,76.51
"C",11,80.08
"C",12,97.21
"C",13,108.62
"C",14,107.1
"C",15,103.62
"C",1,56.17
"C",2,90.2
"C",3,89.7
"C",4,106.69
"C",5,63.99
"C",6,86.29
"C",7,114.63
"C",8,95.64
"C",9,114.06
"C",10,105.69
"C",11,102.12
"C",12,114.22
"C",13,81.28
"C",14,102.19
"C",15,116.47
"C",1,96.92
"C",2,91.59
"C",3,86.27
"C",4,100.55
"C",5,88.1
"C",6,75.74
"C",7,91.74
"C",8,92.03
"C",9,100.98
"C",10,93.37
"C",11,108.78
"C",12,129.01
"C",13,81.34
"C",14,114.11
"C",15,99.33
"D",1,122.53
"D",2,121.47
"D",3,134.78
"D",4,143.05
"D",5,138.98
"D",6,161.76
"D",7,152.8
"D",8,150
"D",9,166.49
"D",10,184.56
"D",11,185.76
"D",12,189.25
"D",13,191.85
"D",14,195.3
"D",15,195.75
"D",1,117.93
"D",2,119.34
"D",3,129.97
"D",4,131.96
"D",5,141.28
"D",6,155.42
"D",7,152.14
"D",8,153.88
"D",9,161.62
"D",10,163.26
"D",11,181.61
"D",12,174.71
"D",13,186.96
"D",14,195.91
"D",15,204.33
"D",1,135.73
"D",2,121.77
"D",3,140.97
"D",4,138.38
"D",5,145.51
"D",6,159.19
"D",7,153.59
"D",8,165.48
"D",9,166.6
"D",10,169.68
"D",11,184.79
"D",12,181.39
"D",13,186.61
"D",14,196.53
"D",15,202.83
"D",1,120.99
"D",2,136.98
"D",3,132.81
"D",4,136.66
"D",5,134.24
"D",6,150.85
"D",7,158.43
"D",8,158.23
"D",9,173.59
"D",10,175.49
"D",11,177.93
"D",12,192.02
"D",13,179.86
"D",14,194.38
"D",15,202.47
"D",1,120.61
"D",2,129.63
"D",3,135.84
"D",4,138.97
"D",5,146.82
"D",6,150.8
"D",7,152.42
"D",8,165.92
"D",9,164.07
"D",10,168.97
"D",11,179.92
"D",12,191.44
"D",13,178.51
"D",14,193.92
"D",15,200.12
"D",1,125.97
"D",2,144.38
"D",3,142.71
"D",4,138.5
"D",5,143.18
"D",6,156.39
"D",7,162.04
"D",8,165.69
"D",9,163.92
"D",10,175.07
"D",11,177
"D",12,192.25
"D",13,183.25
"D",14,193.05
"D",15,192.68
"D",1,120.68
"D",2,131
"D",3,134.91
"D",4,138.68
"D",5,154.56
"D",6,152.07
"D",7,163.67
"D",8,156.79
"D",9,165.8
"D",10,164.9
"D",11,184.95
"D",12,177.43
"D",13,195.44
"D",14,187.69
"D",15,197.55
"D",1,110.77
"D",2,129.69
"D",3,136.21
"D",4,131.25
"D",5,144.95
"D",6,149.8
"D",7,147.14
"D",8,166.63
"D",9,160.74
"D",10,171.1
"D",11,180.36
"D",12,179.81
"D",13,191.62
"D",14,193.56
"D",15,205.83
"D",1,122.35
"D",2,124.9
"D",3,138.01
"D",4,140.27
"D",5,144.91
"D",6,154.21
"D",7,159.31
"D",8,162.03
"D",9,170.41
"D",10,176.2
"D",11,181.77
"D",12,187.62
"D",13,194.49
"D",14,192.17
"D",15,195.74
"E",1,89.78
"E",2,102.43
"E",3,98.68
"E",4,114.73
"E",5,111.75
"E",6,111.23
"E",7,110.11
"E",8,123.24
"E",9,119.79
"E",10,116.3
"E",11,117.81
"E",12,145.33
"E",13,130.93
"E",14,133.08
"E",15,140.66
"E",1,96.15
"E",2,100.41
"E",3,104.68
"E",4,104.82
"E",5,103.01
"E",6,123.66
"E",7,118.6
"E",8,108.53
"E",9,133.5
"E",10,111.6
"E",11,127.66
"E",12,131.76
"E",13,128.38
"E",14,143.34
"E",15,128.8
"E",1,116.62
"E",2,108.34
"E",3,124.35
"E",4,117.01
"E",5,97.2
"E",6,123.01
"E",7,124.05
"E",8,132.67
"E",9,136.13
"E",10,133.08
"E",11,137.76
"E",12,128.9
"E",13,153.03
"E",14,123.29
"E",15,125.14
"E",1,89.15
"E",2,113.64
"E",3,96.91
"E",4,106.96
"E",5,114.51
"E",6,111.95
"E",7,99.29
"E",8,134.05
"E",9,124.87
"E",10,133.79
"E",11,131.63
"E",12,129.39
"E",13,152.35
"E",14,148.5
"E",15,128.79
"E",1,90.46
"E",2,117.47
"E",3,98.88
"E",4,110.87
"E",5,99.74
"E",6,123.4
"E",7,125.47
"E",8,120
"E",9,140.81
"E",10,123.61
"E",11,128.73
"E",12,145.33
"E",13,142.03
"E",14,148.86
"E",15,157.84
"E",1,104.15
"E",2,111.1
"E",3,101.47
"E",4,115.25
"E",5,110.68
"E",6,129.15
"E",7,119.2
"E",8,122.94
"E",9,125.59
"E",10,108.72
"E",11,121.88
"E",12,153.76
"E",13,144.45
"E",14,140.92
"E",15,141.96
"E",1,100.19
"E",2,109.04
"E",3,115.36
"E",4,101.13
"E",5,112.31
"E",6,104.4
"E",7,115.47
"E",8,127.61
"E",9,111.48
"E",10,138.57
"E",11,143.1
"E",12,134.47
"E",13,140.18
"E",14,153.65
"E",15,137.81
"E",1,92.61
"E",2,93.49
"E",3,98.2
"E",4,103.76
"E",5,117.33
"E",6,107.46
"E",7,116.98
"E",8,124.15
"E",9,113.03
"E",10,142.47
"E",11,144.52
"E",12,116.93
"E",13,132.82
"E",14,136.88
"E",15,145.17
"E",1,90.31
"E",2,101.08
"E",3,115.39
"E",4,120.4
"E",5,115.94
"E",6,119.97
"E",7,113.34
"E",8,118.31
"E",9,136.98
"E",10,129.24
"E",11,124.92
"E",12,150.54
"E",13,131.83
"E",14,151.57
"E",15,149.19
"E",1,105.48
"E",2,101.72
"E",3,116.4
"E",4,94.67
"E",5,104.04
"E",6,114.29
"E",7,121.19
"E",8,123.64
"E",9,122.81
"E",10,125.74
"E",11,136.17
"E",12,128.09
"E",13,116.14
"E",14,140.57
"E",15,151.95
"E",1,111.35
"E",2,101.9
"E",3,107.14
"E",4,125.49
"E",5,107.41
"E",6,115.4
"E",7,124.4
"E",8,116.34
"E",9,121.09
"E",10,134.15
"E",11,124.52
"E",12,139.02
"E",13,125.84
"E",14,120.81
"E",15,149.57
"E",1,100.47
"E",2,100.5
"E",3,102.64
"E",4,120.41
"E",5,103.09
"E",6,126.06
"E",7,109.51
"E",8,121.29
"E",9,123.53
"E",10,134.21
"E",11,114.23
"E",12,132.06
"E",13,136.2
"E",14,145.98
"E",15,154.48
"F",1,120.1
"F",2,140.98
"F",3,147.21
"F",4,161.02
"F",5,150.08
"F",6,170.05
"F",7,161.72
"F",8,161.76
"F",9,176.45
"F",10,178.37
"F",11,184.36
"F",12,196.74
"F",13,185.57
"F",14,190.91
"F",15,196.07
"F",1,145.42
"F",2,160.98
"F",3,153.57
"F",4,159.23
"F",5,172.97
"F",6,148.87
"F",7,142.53
"F",8,151.71
"F",9,173.27
"F",10,175.16
"F",11,146.15
"F",12,198.96
"F",13,186.39
"F",14,193.14
"F",15,203.59
"F",1,116.07
"F",2,128.24
"F",3,154.43
"F",4,170.74
"F",5,159.64
"F",6,165.01
"F",7,139.6
"F",8,178.37
"F",9,183.98
"F",10,170.51
"F",11,181.94
"F",12,195.74
"F",13,215.63
"F",14,180.16
"F",15,211.27
"F",1,149.18
"F",2,148.22
"F",3,145.31
"F",4,144.56
"F",5,153.2
"F",6,166.62
"F",7,147.37
"F",8,150.33
"F",9,161.37
"F",10,157.33
"F",11,159.05
"F",12,201.35
"F",13,177.77
"F",14,187.62
"F",15,184.6
"F",1,138.53
"F",2,143.45
"F",3,156.33
"F",4,140.74
"F",5,166.46
"F",6,157.6
"F",7,144.64
"F",8,179.58
"F",9,188.79
"F",10,184.76
"F",11,174.31
"F",12,167.79
"F",13,189.56
"F",14,177.26
"F",15,176.23
"F",1,140.88
"F",2,133.26
"F",3,136.77
"F",4,138.5
"F",5,167.38
"F",6,136.38
"F",7,155.18
"F",8,172.37
"F",9,173.71
"F",10,167.29
"F",11,178.85
"F",12,181.98
"F",13,209.84
"F",14,195.1
"F",15,190.51
"F",1,146.83
"F",2,121.27
"F",3,148.32
"F",4,161.6
"F",5,136.81
"F",6,159.91
"F",7,172.37
"F",8,179.16
"F",9,188.91
"F",10,198.51
"F",11,182.08
"F",12,173.92
"F",13,179.77
"F",14,202.41
"F",15,179.2
"F",1,138.37
"F",2,122.72
"F",3,130.29
"F",4,150.64
"F",5,143.9
"F",6,145.7
"F",7,152.47
"F",8,182.85
"F",9,153.23
"F",10,176.22
"F",11,173.86
"F",12,220.86
"F",13,187.15
"F",14,216.26
"F",15,209.22
"F",1,112.9
"F",2,143.3
"F",3,150.27
"F",4,146.74
"F",5,127.12
"F",6,183.58
"F",7,158.34
"F",8,148.13
"F",9,185.52
"F",10,171.83
"F",11,182.64
"F",12,174.76
"F",13,167.03
"F",14,191.78
"F",15,207.83
"F",1,132
"F",2,137.29
"F",3,144.43
"F",4,151.34
"F",5,147.95
"F",6,152.18
"F",7,151.61
"F",8,148.37
"F",9,152.37
"F",10,165.19
"F",11,170.47
"F",12,179.54
"F",13,174.12
"F",14,182.87
"F",15,217.04
"G",1,126.66
"G",2,132.28
"G",3,135.81
"G",4,132.09
"G",5,142.91
"G",6,152.48
"G",7,164.89
"G",8,170.36
"G",9,199.26
"G",10,180.59
"G",11,182.65
"G",12,178.97
"G",13,193.26
"G",14,243.35
"G",15,222.94
"G",1,133.07
"G",2,131.64
"G",3,138.22
"G",4,141.06
"G",5,156.62
"G",6,174.13
"G",7,174.59
"G",8,168.13
"G",9,178.98
"G",10,167.36
"G",11,205.16
"G",12,220.15
"G",13,187.43
"G",14,212.17
"G",15,208.82
"G",1,107.95
"G",2,141.91
"G",3,150.02
"G",4,167.25
"G",5,155.94
"G",6,135.17
"G",7,169.68
"G",8,162.5
"G",9,175.34
"G",10,187.53
"G",11,192.42
"G",12,207.99
"G",13,197.64
"G",14,204.31
"G",15,221.52
"G",1,132.7
"G",2,124.49
"G",3,128.12
"G",4,130.99
"G",5,141.02
"G",6,153.52
"G",7,149.94
"G",8,179.02
"G",9,153.18
"G",10,182.81
"G",11,174.35
"G",12,213.02
"G",13,199.36
"G",14,225.85
"G",15,214.32
"G",1,119.69
"G",2,116.99
"G",3,99.34
"G",4,162.67
"G",5,133.14
"G",6,187.5
"G",7,167.72
"G",8,164.03
"G",9,186.05
"G",10,195.15
"G",11,188.87
"G",12,200.14
"G",13,227.44
"G",14,195.63
"G",15,218.74
"G",1,131.7
"G",2,112.3
"G",3,114.75
"G",4,159.19
"G",5,141.05
"G",6,144.53
"G",7,163.41
"G",8,164.16
"G",9,171.05
"G",10,167.71
"G",11,180.75
"G",12,208.63
"G",13,211.41
"G",14,204.78
"G",15,248.13
"G",1,139.89
"G",2,120.35
"G",3,134.93
"G",4,104.43
"G",5,161.39
"G",6,163.58
"G",7,157.9
"G",8,168.46
"G",9,178.74
"G",10,196.78
"G",11,180.01
"G",12,211.24
"G",13,214.46
"G",14,204
"G",15,215.9
"G",1,144.19
"G",2,127.29
"G",3,119.52
"G",4,125.47
"G",5,149.14
"G",6,159.76
"G",7,166.83
"G",8,167.62
"G",9,154.15
"G",10,179.28
"G",11,202.63
"G",12,170.85
"G",13,212.78
"G",14,194.82
"G",15,216.71
"G",1,105.49
"G",2,138.95
"G",3,129.03
"G",4,148.07
"G",5,140.43
"G",6,142.79
"G",7,145.84
"G",8,156.99
"G",9,173.48
"G",10,201.17
"G",11,198.38
"G",12,190.9
"G",13,208.31
"G",14,200.45
"G",15,211.98
"H",1,128.39
"H",2,155.13
"H",3,133.17
"H",4,133.95
"H",5,112.5
"H",6,148.54
"H",7,151.29
"H",8,125.26
"H",9,143.14
"H",10,137.02
"H",11,148.41
"H",12,144.39
"H",13,161.35
"H",14,155.5
"H",15,156.25
"H",1,130.64
"H",2,111.12
"H",3,119.44
"H",4,146.33
"H",5,136.87
"H",6,141.03
"H",7,125.35
"H",8,162.36
"H",9,137.89
"H",10,149.97
"H",11,144.69
"H",12,158.32
"H",13,142.42
"H",14,162.99
"H",15,165.22
"H",1,119.11
"H",2,112.68
"H",3,134.85
"H",4,110.01
"H",5,142.15
"H",6,144.43
"H",7,146.8
"H",8,137.78
"H",9,161
"H",10,143.76
"H",11,137.75
"H",12,145.48
"H",13,138.98
"H",14,140.87
"H",15,157.41
"H",1,127.3
"H",2,120.01
"H",3,128.79
"H",4,131.45
"H",5,132.01
"H",6,154.34
"H",7,133.29
"H",8,147.87
"H",9,139.84
"H",10,134.83
"H",11,138.07
"H",12,150.82
"H",13,145.74
"H",14,154.92
"H",15,158.74
"H",1,134.03
"H",2,118.87
"H",3,144.25
"H",4,114.24
"H",5,116.2
"H",6,148.15
"H",7,151.22
"H",8,129.81
"H",9,148.02
"H",10,132.19
"H",11,162.82
"H",12,149.89
"H",13,149.9
"H",14,150.01
"H",15,143.22
"H",1,135.09
"H",2,128.87
"H",3,135.73
"H",4,125.01
"H",5,130.8
"H",6,139.36
"H",7,121.94
"H",8,131.81
"H",9,137.02
"H",10,150.71
"H",11,137.93
"H",12,138.59
"H",13,155.35
"H",14,145.88
"H",15,165.25
"H",1,110.24
"H",2,125.13
"H",3,123.02
"H",4,127.83
"H",5,142
"H",6,143.91
"H",7,131.57
"H",8,122.78
"H",9,135.64
"H",10,158.25
"H",11,147.05
"H",12,140.67
"H",13,151.41
"H",14,161.41
"H",15,173.64
"H",1,132.14
"H",2,119.2
"H",3,153.19
"H",4,133.83
"H",5,148.9
"H",6,149.77
"H",7,119.16
"H",8,157.17
"H",9,142.09
"H",10,137.02
"H",11,147.98
"H",12,150.08
"H",13,151.58
"H",14,151.92
"H",15,170.1
"H",1,136.94
"H",2,132.18
"H",3,125.24
"H",4,145.14
"H",5,141.76
"H",6,132.97
"H",7,134.3
"H",8,138.76
"H",9,141.67
"H",10,149.02
"H",11,155.95
"H",12,151.49
"H",13,134.91
"H",14,156.89
"H",15,166.26
"H",1,114.08
"H",2,110.43
"H",3,138.69
"H",4,129.21
"H",5,140.04
"H",6,134.73
"H",7,156.11
"H",8,152.9
"H",9,149.58
"H",10,153.41
"H",11,156.62
"H",12,160.39
"H",13,142.28
"H",14,168.95
"H",15,141.57
