alga.length,depth,nutrients
124.5192745,2,280.1984899
134.0627919,3,384.6814216
149.6833537,4,581.3962961
181.5593916,5,910.0436342
110.1654774,6,217.6482924
175.2284091,7,900.4218913
180.389978,8,945.7817632
150.4987876,9,667.5818366
144.7034968,10,636.531763
88.43530469,11,80.55054506
99.02323798,12,221.8550834
91.38767344,13,193.0256175
140.4683409,14,693.2823897
107.8052455,15,396.4216438
144.7343582,16,774.4445916
115.8439757,17,507.7452572
136.3897876,18,723.2661381
193.8404148,2,992.0679729
133.4804907,3,392.4344758
169.2077547,4,781.8963169
186.2520436,5,936.0111265
111.8650283,6,227.8996709
153.2292904,7,658.6402908
98.88067744,8,143.043994
112.7108897,9,281.8762554
118.8855764,10,398.3918107
80.61978555,11,33.1225265
117.6224432,12,394.7401979
160.2536584,13,872.2970288
107.0431306,14,353.5420168
118.6546394,15,492.4385132
128.2774616,16,607.5745089
115.9483781,17,503.6704809
84.99060744,18,202.4932494
178.8165895,2,830.8258522
160.7508041,3,675.0974034
173.8500646,4,798.3550635
102.2566062,5,125.7847534
160.6543379,6,729.2367271
128.154608,7,423.0489411
167.5217363,8,824.5273682
147.3015524,9,654.1189899
158.6709594,10,787.274107
133.1750678,11,561.9755854
129.4261135,12,539.1251886
153.4471514,13,793.5691071
75.4031161,14,42.86457829
119.5657907,15,487.6854637
139.4891553,16,737.6674639
136.3475293,17,698.8769254
110.5020482,18,488.0672297
181.9470645,2,863.9852873
138.1410967,3,449.3351651
117.011991,4,259.9013315
98.84120145,5,89.2654662
96.87614456,6,117.476837
120.7595023,7,329.946273
134.3286991,8,528.2615779
148.1812019,9,668.7649749
120.1954782,10,418.6935834
168.3356121,11,914.6184058
109.9038803,12,307.7313053
121.0145346,13,469.8844117
104.6452273,14,345.7467807
133.3243975,15,657.8530577
95.96092516,16,272.8564451
114.8695946,17,488.9743433
140.6213432,18,770.9844572
104.8621544,2,102.5619761
179.5502999,3,877.8149034
125.6163595,4,352.2914791
175.7651975,5,842.6515432
123.0430819,6,359.7498194
118.6333029,7,347.0994322
135.486358,8,486.8242202
172.0730875,9,894.3543691
166.3472975,10,867.0526812
119.8066998,11,402.1897526
155.5070625,12,781.7742849
169.2116992,13,961.4056373
119.9057832,14,445.9662951
141.443898,15,718.2643851
107.0627062,16,411.9944815
99.66791148,17,338.8451088
140.505848,18,761.9454051
121.3258086,2,218.63841
165.8485834,3,716.898798
106.6113065,4,139.2580826
115.942145,5,260.5787437
103.5428279,6,160.4382918
111.4315936,7,254.8368268
92.95702838,8,77.75568973
150.0571168,9,649.4424934
169.4154715,10,878.7438284
158.145501,11,783.3363839
154.2892798,12,801.3626494
122.0927398,13,466.1689645
114.5181272,14,421.8824004
149.2644087,15,814.6528379
130.0649966,16,612.8346245
131.924813,17,661.6294495
102.8102136,18,366.1333265
123.3363713,2,284.854943
192.6377204,3,992.8303799
154.6931757,4,640.8233991
112.6287413,5,228.9439725
103.2815078,6,146.7849011
133.7579451,7,488.5556736
177.8048578,8,925.5929804
140.8664506,9,606.7857478
176.0927515,10,976.647281
153.8774027,11,737.1566616
111.4354662,12,369.5923738
118.9023837,13,442.8442167
87.95311887,14,165.2473295
73.89570516,15,32.81602397
142.6587844,16,721.2547448
80.49193775,17,121.120551
109.2395045,18,457.3586616
157.3020491,2,647.2990242
196.9466771,3,992.0018476
143.5687699,4,505.6817063
140.2782444,5,494.6625339
106.9772495,6,189.9734882
162.7376152,7,759.7245256
130.2351942,8,464.8175794
134.7256808,9,520.9463881
101.739051,10,223.394211
100.3531862,11,244.0849799
137.861533,12,603.7977564
134.617093,13,583.3747543
81.08919841,14,95.52309268
73.60304217,15,54.82976799
133.9573202,16,649.9395824
158.9372259,17,930.0428956
122.0132298,18,606.1305739
152.9714711,2,569.682733
146.6052664,3,535.5071694
190.0278791,4,985.3933194
140.01404,5,517.4889859
159.6179446,6,689.1323171
146.4543413,7,609.5103933
107.0008603,8,254.0913042
109.596051,9,273.0026081
153.8671066,10,734.7234309
122.8732014,11,463.5194148
90.8290423,12,191.624233
148.2157079,13,751.7643042
85.14455021,14,122.8878876
156.6358201,15,867.25405
130.0879391,16,622.3520722
123.4428659,17,566.0163481
96.44048931,18,342.2017727
144.0520472,2,464.0688165
145.0351993,3,510.4321532
112.7858694,4,197.2490339
145.4549607,5,539.0379907
97.7122437,6,93.77023079
113.90202,7,292.200814
108.5889997,8,228.4455289
108.9092197,9,299.0946714
168.902036,10,897.1922209
123.3475556,11,457.3106169
154.1893376,12,784.385192
163.8313613,13,883.0066542
114.6905054,14,424.8617253
78.8639825,15,82.5323109
102.773292,16,348.7777419
138.5536463,17,729.2514277
100.1296289,18,350.8630268